well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct,avg_hz_spacing_ft_unw,avg_vt_spacing_ft_unw
42501370400000,1811.6928191751886,19.835000000000036,1,0.9741078448025969,1811.6928191751886,19.835000000000036
42501370410100,4470.389847518155,8.234999999999673,1,1.0,4470.389847518155,8.234999999999673
42501370430100,,,0,,,
42501370440000,2239.507775660822,28.517774999300862,5,1.0,2299.728950535019,28.51809999999987
42501370460000,2112.5127960615446,20.26325253594874,12,1.0,2352.7804932824265,22.44412500000006
42501370480000,2472.0425869351993,18.022813815394112,10,1.0,2372.013230127228,18.91745000000019
42501370590000,2906.1952559845877,18.664671459096667,11,1.0,3059.98036153875,19.849045454545458
42501370600000,2686.975835180852,13.489967642925613,5,1.0,2713.9535493694093,13.5871000000001
42501370610000,2792.730146766226,11.182974664982261,6,1.0,2799.175090287612,11.19508333333321
42501370920000,2550.060345405938,15.3828653236663,9,1.0,2555.1931295298646,15.264611111110955
42501370930000,1292.9809127483952,38.16949999999997,1,0.9999999999999998,1292.9809127483952,38.16949999999997
42501370940000,2579.811477199617,61.049858904534,8,1.0,2625.1502508338963,61.63199999999949
42501370960000,2718.717029762371,61.06986048203924,10,1.0,2702.183930139045,60.66460000000025
42501370970000,2542.094333649284,22.33158890300509,9,1.0,2554.916135033087,21.664166666666866
42501370980000,2710.2800864540363,25.72398072074431,12,1.0,2842.629471156131,27.19016666666668
42501370990000,2389.2329256551,16.5274849203483,3,1.0,2359.0988300037243,16.314833333332597
42501371000000,1508.977877101995,10.271038993043193,3,1.0,1494.1189016950266,10.194833333333008
42501371040000,2648.395800594062,32.06877301693038,10,1.0,3137.1054874143033,34.50580000000036
42501371050000,,,0,,,
42501371060000,1269.1057153110205,5.0191796841119585,2,1.0,1265.1920567604468,5.6150000000002365
42501371090000,2569.7513175923195,37.50876298829328,6,1.0,2660.3993444193525,39.265416666666624
42501371100000,1476.9635204001786,25.884715940350272,2,1.0,1498.2585173926798,25.736750000000484
42501371110000,2977.805309881629,23.23452485100624,10,1.0,3040.590272089697,23.109949999999845
42501371120000,2711.4634401936814,48.361668195806665,9,1.0,2692.323815659194,47.914000000000264
42501371140000,2282.9508320203668,33.09635998255058,7,1.0,2392.599676574754,33.193214285714284
42501371150000,2323.809227364046,20.335529915636403,3,1.0,2277.052237833096,19.46000000000034
42501371160000,1598.633897658287,19.662540243531982,3,1.0,1545.548941232465,19.46000000000034
42501371170000,2008.0174812193127,19.94135782324979,3,1.0,2018.821683668464,20.280000000000047
42501371240000,2903.935829237732,79.87116955644763,7,1.0,2957.1402074095154,79.14207142857101
