well_i,avg_hz_spacing_ft,avg_vt_spacing_ft,neighbors_considered,adjacency_coverage_i_pct
42003477800000,835.5587977529084,13.829000000000633,1,0.9937454271453826
42003477810000,1129.6448624462716,20.174952097700373,2,1.0
42003477960000,859.3720552854426,3.183676768373551,2,1.0
42003478000000,1209.26912135566,24.98999999999978,1,0.6108902879098524
42003478030000,1017.2291811390791,30.20556882137823,2,1.0
42003478040000,,,0,
42003478080100,,,0,
42003478090000,651.1448147945335,18.2361682394087,2,1.0
42003478100200,,,0,
42003478110000,919.803877740785,54.35245676850141,2,1.0
42003478120000,1256.7636502789037,129.43199999999888,1,0.46969486000650207
42003478130000,,,0,
42003478160000,921.2003677470875,46.029999999998836,1,0.984967930270839
42003478340000,1101.3645946455435,35.409999999999854,1,0.2585024783129786
42003478440000,,,0,
42003478480000,861.9200990744424,49.17999999999938,1,0.9999999999999998
42003478630100,,,0,
42003478720000,,,0,
42003478730000,,,0,
42003478740000,,,0,
42003478750000,,,0,
42003478760100,,,0,
42003478770100,,,0,
42003478780200,,,0,
42003478900000,935.8579138068148,6.176846584637531,2,1.0
42003478920000,1230.007182219114,24.840000000000146,1,0.9996725301796563
42003479040000,784.4216571433923,48.404999999998836,1,0.6449225069254069
42003479050000,838.8418839748102,12.47055133027342,2,1.0
42003479070000,,,0,
42003479080000,1042.5062347403323,14.140000000001237,1,0.990500614827784
42003479090000,801.7058116450504,1.7474999999994907,2,1.0
42003479100000,980.1699284828098,15.357537670608258,2,1.0
42003479110000,967.628492055872,11.930746674103425,2,1.0
42003479120000,1013.8166837092471,67.39791609335686,2,1.0
42003479230000,859.7278030227924,3.6849999999994907,1,0.9018435001995713
42003479320000,487.3927324233719,154.48500000000058,1,0.8620875861087572
42003479330000,,,0,
42003479350000,1064.7278295173132,35.26550000000134,1,0.9243732598589254
42003479360000,1064.999510130086,35.26550000000134,1,0.9689363748307797
42003479580000,,,0,
42003479750000,1099.400708321114,35.7367345812968,3,1.0
42003479770000,837.7325480937525,44.2071574017775,2,1.0
42003479780200,,,0,
42003479800000,796.4896342484545,40.106711365007754,2,1.0
