well_i,wps_cardinal,wps_iframe,wps_corridor,anisotropy_ratio,anisotropy_delta,azimuth_deg,mid_x,mid_y
42003456440000,3,3,3,1.0,0.0,345.7468470668613,2315257.264417692,11705462.399656337
42003456720000,6,4,4,0.6666666666666666,-2.0,163.24640625118323,2371295.9552674377,11772198.244424745
42003456730000,1,1,1,1.0,0.0,345.5865599560684,2354805.140519688,11801336.024094306
42003456940000,4,4,4,1.0,0.0,342.8107820856357,2338555.053641307,11774203.020007014
42003457050000,4,3,3,0.75,-1.0,342.6456712528331,2339381.8417507797,11768977.485666886
42003457180000,6,4,4,0.6666666666666666,-2.0,342.7713440094401,2335257.586009158,11766923.991440361
42003457220000,4,4,4,1.0,0.0,164.92582848162456,2314045.07996862,11688738.674359899
42003457390000,10,10,11,1.0,0.0,169.75627348172108,2320923.70022861,11674125.124931209
42003457410000,8,7,7,0.875,-1.0,345.83331896213497,2412561.955897052,11690718.344127137
42003457560000,4,4,4,1.0,0.0,166.6393501417291,2311197.816835901,11669899.306459688
42003457560100,4,4,4,1.0,0.0,168.43915663504703,2311090.357986019,11669776.803471074
42003457570100,1,1,1,1.0,0.0,346.6063499723974,2327898.336346125,11684370.114351287
42003457690000,9,7,7,0.7777777777777778,-2.0,343.56029607646974,2319462.829957377,11681065.07037422
42003457980000,6,5,5,0.8333333333333334,-1.0,162.59134492665385,2348340.5636990955,11781819.01613172
42003458170000,5,4,4,0.8,-1.0,343.8422302099302,2317616.8854164127,11694791.026344873
42003458380000,7,7,7,1.0,0.0,166.10142544314462,2318767.5498848273,11695535.01583929
42003458430000,2,2,2,1.0,0.0,346.71923578815904,2316659.53470909,11705913.228804536
42003458470000,7,6,6,0.8571428571428571,-1.0,343.4574880299746,2370688.48528363,11778109.906132475
42003458480000,7,5,5,0.7142857142857143,-2.0,163.73859434462474,2372370.022248541,11772547.001823341
42003458530000,10,11,11,1.1,1.0,341.9987305984474,2319635.374329624,11700235.252758175
42003458550000,8,8,8,1.0,0.0,345.43198623800686,2320127.97600911,11701404.00631572
42003458560000,5,3,3,0.6,-2.0,342.72465666406805,2383527.7068439284,11793302.10492814
42003458590000,9,8,8,0.8888888888888888,-1.0,166.99449175833385,2321934.1137037007,11674395.99064565
42003458600000,8,7,7,0.875,-1.0,345.8624040437753,2320492.8658794207,11681600.853059426
42003458620000,5,3,3,0.6,-2.0,162.89449202710287,2338557.7572197337,11778845.623556197
42003458710100,5,5,3,1.0,0.0,164.28849164236817,2367815.117937926,11689594.49906813
42003458880000,5,4,4,0.8,-1.0,162.92947817431053,2338459.277760444,11756627.205519518
42003458890000,1,1,1,1.0,0.0,342.89233129709544,2349883.873779374,11788670.104095528
42003458910000,3,2,2,0.6666666666666666,-1.0,344.05511625594426,2310678.112734707,11682210.511569222
42003459100000,1,1,1,1.0,0.0,343.9312957376535,2332747.260692427,11734674.311869027
42003459150000,2,2,1,1.0,0.0,163.58008765499912,2351120.1869690735,11734434.99696838
42003459200000,2,2,1,1.0,0.0,166.00350818860397,2350382.0849447562,11737062.356325755
42003459210000,2,2,2,1.0,0.0,341.99969259626386,2351693.3858567644,11728050.460622523
42003459290000,9,6,6,0.6666666666666666,-3.0,342.41977116540886,2342903.5430646325,11775475.757267369
42003459350000,7,7,6,1.0,0.0,343.2177235804439,2380442.1473612026,11675361.075777335
42003459870100,10,12,12,1.2,2.0,345.77052329934725,2319557.1057471447,11700074.180533258
42003459930000,6,5,5,0.8333333333333334,-1.0,163.8039474001763,2374068.394674652,11773338.444053996
42003460150000,7,7,7,1.0,0.0,167.64532856748727,2319865.3398967735,11695914.782157063
42003460210000,1,1,1,1.0,0.0,345.76763966817236,2349779.753520718,11804687.566673998
42003460260000,6,5,5,0.8333333333333334,-1.0,343.216911166588,2373133.259147377,11779155.031780984
42003460450000,1,1,1,1.0,0.0,345.54450264999747,2376510.6136650397,11757637.542776402
42003460500100,3,2,2,0.6666666666666666,-1.0,345.9125668478292,2371928.475223377,11761821.221744794
42003461130000,2,1,1,0.5,-1.0,165.54862918116223,2334087.790423698,11755238.27147309
42003461500000,2,2,2,1.0,0.0,165.21098983769872,2341239.336957755,11741216.92775429
42003461500100,2,2,2,1.0,0.0,164.4305939549352,2341263.2956043603,11741232.139756955
42003461640000,8,8,8,1.0,0.0,345.5920435431495,2320364.142677868,11701460.322321149
42003461810000,6,5,5,0.8333333333333334,-1.0,162.91078680039857,2381864.3692640103,11786468.507683069
42003461870100,1,1,1,1.0,0.0,166.5261475115742,2376732.580867099,11690270.427461699
42003461880000,6,6,5,1.0,0.0,346.35161820796,2342218.725993215,11658269.975594852
42003462130000,10,8,7,0.8,-2.0,344.9400579190854,2413690.4710151274,11691550.744922897
42003462220000,1,1,1,1.0,0.0,164.78318144146272,2331280.0611919453,11747117.385676358
42003462250000,4,3,3,0.75,-1.0,342.95538495767806,2337707.799154323,11773880.38328138
42003462290000,7,7,7,1.0,0.0,345.8153735284335,2321094.9084558003,11701838.554800533
42003462570000,8,5,5,0.625,-3.0,342.56098599400354,2347173.6285738028,11776763.342677183
42003462760000,4,3,3,0.75,-1.0,342.3035990027131,2386133.4810773563,11794139.193971869
42003463110000,7,6,6,0.8571428571428571,-1.0,342.31813690819854,2339946.1730759344,11774576.946503364
42003463120000,5,5,5,1.0,0.0,342.8792881381691,2340010.750595853,11757502.258778416
42003463140000,7,6,6,0.8571428571428571,-1.0,162.9624036103885,2383680.826964734,11787010.233307503
42003463250000,7,6,6,0.8571428571428571,-1.0,342.0590856012383,2377468.4406638825,11779037.582893798
42003463260000,5,4,4,0.8,-1.0,342.1418262462723,2380084.189706224,11780584.7467018
42003463600000,9,6,6,0.6666666666666666,-3.0,342.0738814444551,2344560.5364678823,11775997.300306294
42003463690000,10,9,9,0.9,-1.0,165.76351780750082,2318839.3199274396,11673168.97927651
42003463700000,1,1,1,1.0,0.0,165.93284852366193,2343514.587044199,11665744.100283166
42003463710000,3,3,3,1.0,0.0,345.41411382428487,2311786.4213399994,11699151.672381315
42003463720000,3,3,3,1.0,0.0,345.1113524108747,2312355.395004769,11699378.003987055
42003463800000,13,10,10,0.7692307692307693,-3.0,344.7729058163086,2411419.926253978,11689694.377347715
42003463810000,1,1,1,1.0,0.0,346.5357389123404,2341871.769055905,11675907.847857226
42003464070000,2,2,2,1.0,0.0,345.60496612634506,2326814.863914714,11666208.871812664
42003464470000,3,3,3,1.0,0.0,162.13473900179326,2366033.203443998,11754249.328810928
42003464480000,3,2,2,0.6666666666666666,-1.0,162.93225789180045,2358727.707776362,11753940.73621741
42003464730000,8,6,10,0.75,-2.0,346.61229735999757,2316940.5310471505,11679841.054648314
42003464740000,7,7,7,1.0,0.0,346.52147340563465,2315864.263498749,11679514.790664278
42003465070000,6,5,5,0.8333333333333334,-1.0,162.76169361708497,2339973.01057641,11779317.450004816
42003465120000,7,4,4,0.5714285714285714,-3.0,162.80184577588682,2344133.6824705843,11780566.895131648
42003465170000,7,6,6,0.8571428571428571,-1.0,341.98691318447686,2375035.2676700195,11779088.66197199
42003466190000,12,11,9,0.9166666666666666,-1.0,157.72628641572615,2408657.13316347,11690438.3683378
42003466220000,6,4,4,0.6666666666666666,-2.0,163.01540132960068,2346628.5798445754,11781317.926307827
42003466250000,8,8,8,1.0,0.0,357.5053507708082,2412826.5375531293,11696409.818527896
42003466260000,5,4,4,0.8,-1.0,343.24209718908514,2338522.453753341,11768605.956015632
42003466270000,7,5,5,0.7142857142857143,-2.0,162.9518258549412,2350851.1677945973,11782554.305693049
42003466290000,5,4,4,0.8,-1.0,163.24612139193502,2337051.09175797,11761827.676069316
42003466650000,8,6,6,0.75,-2.0,166.86237778305508,2317729.520698162,11672913.451609882
42003466880000,7,4,4,0.5714285714285714,-3.0,162.79426283040954,2341601.523386021,11779769.42148352
